variant,variant_label,story,story_label,prompt_status,continuity_status,vtc,action,scene,object_class,color,subject_consistency,background_consistency,motion_smoothness,temporal_flickering,run_dir,summary_path,prompt_eval_min,continuity_eval_min
simple_t2v,Simple T2V,fox_and_grapes,Fox and Grapes,ok,ok,4.0,3.0,0.0,3.0,3.0,0.6792776228748765,0.8808960666546243,0.9874928308938534,0.9847097368801341,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/simple_fox_and_grapes_origin_pavan_simple_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/simple_fox_and_grapes_origin_pavan_simple_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406/benchmark_reports_fullstory/combined/combined_benchmark_simple_fox_and_grapes_origin_pavan_simple_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406_fullstory/summary.json,8.016789309851204,1.1247450940000514
simple_t2v,Simple T2V,lion_and_mouse,Lion and Mouse,ok,ok,4.0,2.0,2.0,3.0,3.0,0.7740182698864009,0.9170773309549615,0.990456782178548,0.9878609498341878,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/simple_lion_and_mouse_origin_pavan_simple_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/simple_lion_and_mouse_origin_pavan_simple_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406/benchmark_reports_fullstory/combined/combined_benchmark_simple_lion_and_mouse_origin_pavan_simple_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406_fullstory/summary.json,8.192342370577778,1.1124251851501563
simple_t2v,Simple T2V,thirsty_crow,Thirsty Crow,ok,ok,3.0,0.0,2.0,0.0,2.0,0.8237187152653072,0.8996530286608864,0.9851433591835993,0.9820404707216749,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/simple_thirsty_crow_origin_pavan_simple_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/simple_thirsty_crow_origin_pavan_simple_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406/benchmark_reports_fullstory/combined/combined_benchmark_simple_thirsty_crow_origin_pavan_simple_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406_fullstory/summary.json,8.235332221118734,1.200107674781854
simple_t2v,Simple T2V,tortoise_and_hare,Tortoise and Hare,ok,ok,3.0,2.0,0.0,2.0,0.0,0.8012123657731421,0.9562207407574663,0.9834486386990983,0.978051357643277,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/simple_tortoise_and_hare_origin_pavan_simple_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/simple_tortoise_and_hare_origin_pavan_simple_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406/benchmark_reports_fullstory/combined/combined_benchmark_simple_tortoise_and_hare_origin_pavan_simple_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406_fullstory/summary.json,8.275868541235104,0.9938786633700754
core_t2v,Core T2V,fox_and_grapes,Fox and Grapes,ok,ok,0.0,3.0,3.0,3.0,3.0,0.6551767701484076,0.877557126083815,0.9841954777289107,0.9799998676075655,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/core_fox_and_grapes_origin_pavan_core_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/core_fox_and_grapes_origin_pavan_core_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406/benchmark_reports_fullstory_t2v_rebench/combined/combined_benchmark_core_fox_and_grapes_origin_pavan_core_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406_fullstory/summary.json,14.149124603664193,1.0799843438978618
core_t2v,Core T2V,lion_and_mouse,Lion and Mouse,ok,ok,0.0,2.0,3.0,3.0,0.0,0.7914638998765706,0.9425333423651252,0.9908036958800975,0.9891055406308642,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/core_lion_and_mouse_origin_pavan_core_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/core_lion_and_mouse_origin_pavan_core_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406/benchmark_reports_fullstory_t2v_rebench/combined/combined_benchmark_core_lion_and_mouse_origin_pavan_core_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406_fullstory/summary.json,13.807137457669402,1.0923167580893884
core_t2v,Core T2V,thirsty_crow,Thirsty Crow,ok,ok,3.0,2.0,3.0,2.0,3.0,0.8147682403725696,0.9066108012704721,0.9872556275378254,0.9849218275032792,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/core_thirsty_crow_origin_pavan_core_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/core_thirsty_crow_origin_pavan_core_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406/benchmark_reports_fullstory_t2v_rebench/combined/combined_benchmark_core_thirsty_crow_origin_pavan_core_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406_fullstory/summary.json,14.103765829962988,1.0204931301840892
core_t2v,Core T2V,tortoise_and_hare,Tortoise and Hare,ok,ok,4.0,2.0,0.0,3.0,3.0,0.8157062594830875,0.9498293367654143,0.9738898790589106,0.9665352054670745,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/core_tortoise_and_hare_origin_pavan_core_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/core_tortoise_and_hare_origin_pavan_core_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406/benchmark_reports_fullstory_t2v_rebench/combined/combined_benchmark_core_tortoise_and_hare_origin_pavan_core_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406_fullstory/summary.json,14.571244573577617,1.017661436352258
agentic_t2v,Agentic T2V,fox_and_grapes,Fox and Grapes,ok,ok,5.0,3.0,2.0,3.0,3.0,0.6292922074165418,0.8279380136831648,0.9849837514978542,0.979875987183814,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/agentic_fox_and_grapes_origin_pavan_agentic_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/agentic_fox_and_grapes_origin_pavan_agentic_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406/benchmark_reports_fullstory_t2v_rerun_20260329/combined/combined_benchmark_agentic_fox_and_grapes_origin_pavan_agentic_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406_fullstory/summary.json,41.36288650091738,0.9693326368462294
agentic_t2v,Agentic T2V,lion_and_mouse,Lion and Mouse,ok,ok,0.0,2.0,2.0,0.0,3.0,0.6651734556277823,0.8844020012945568,0.9897587078157792,0.9864451801075654,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/agentic_lion_and_mouse_origin_pavan_agentic_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406,/home/hpc/v123be/v123be36/Multimodal_Final_SceneWeaver/outputs/story_runs_origin_pavan/agentic_lion_and_mouse_origin_pavan_agentic_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406/benchmark_reports_fullstory_t2v_rerun_20260329/combined/combined_benchmark_agentic_lion_and_mouse_origin_pavan_agentic_t2v14b_640x384_f64_s20_w8_concat_a40x2_20260326_232406_fullstory/summary.json,43.749271960595316,0.9957134760993843
